model_type,name,train_sec,quant_sec,ftz_path,ftz_kb,target_scam,target_topic,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.1,0.1,0.022296184673905373,0.7826725244522095,0.03636363636363636,0.08108108108108109,0.8,0.72,0.054878048780487805,0.8514851485148515,0.8431372549019608,0.13392857142857142,0.8284023668639053,0.8157635467980295,0.7663551401869159
single,single_char_ng2,4.74,1.18,/tmp/janitr_postsplit_bakeoff/single_char_ng2.ftz,158.3,0.1,0.2,0.022296184673905373,0.01323282066732645,0.03636363636363636,0.16216216216216217,0.8,0.72,0.054878048780487805,0.75,0.9117647058823529,0.2767857142857143,0.7976424361493124,0.7893792096509396,0.7289719626168224
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.02,0.03,0.9669240117073059,1.0,0.006060606060606061,1.0,0.8571428571428571,0.6,0.03048780487804878,0.9411764705882353,0.6274509803921569,0.03571428571428571,0.7645875251509054,0.750737319721277,0.705607476635514
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.02,0.1,0.9669240117073059,0.8634016513824463,0.006060606060606061,0.09009009009009009,0.8571428571428571,0.6,0.03048780487804878,0.8791208791208791,0.7843137254901961,0.09821428571428571,0.8072289156626505,0.7873902080851183,0.7476635514018691
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.02,0.2,0.9669240117073059,0.001108730910345912,0.006060606060606061,0.1981981981981982,0.8571428571428571,0.6,0.03048780487804878,0.7642276422764228,0.9215686274509803,0.25892857142857145,0.8,0.780479302832244,0.7383177570093458
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.05,0.03,0.0012165895896032453,1.0,0.04242424242424243,1.0,0.782608695652174,0.72,0.06097560975609756,0.9411764705882353,0.6274509803921569,0.03571428571428571,0.7689243027888446,0.7636922565636423,0.7102803738317757
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.05,0.1,0.0012165895896032453,0.8634016513824463,0.04242424242424243,0.09009009009009009,0.782608695652174,0.72,0.06097560975609756,0.8791208791208791,0.7843137254901961,0.09821428571428571,0.8079207920792079,0.7979434529520885,0.7523364485981309
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.05,0.2,0.0012165895896032453,0.001108730910345912,0.04242424242424243,0.1981981981981982,0.782608695652174,0.72,0.06097560975609756,0.7642276422764228,0.9215686274509803,0.25892857142857145,0.8055009823182712,0.7944759653270291,0.7523364485981309
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.08,0.03,0.0012165895896032453,1.0,0.04242424242424243,1.0,0.782608695652174,0.72,0.06097560975609756,0.9411764705882353,0.6274509803921569,0.03571428571428571,0.7689243027888446,0.7636922565636423,0.7102803738317757
single,single_nochar_ng2,1.21,1.16,/tmp/janitr_postsplit_bakeoff/single_nochar_ng2.ftz,165.9,0.08,0.1,0.0012165895896032453,0.8634016513824463,0.04242424242424243,0.09009009009009009,0.782608695652174,0.72,0.06097560975609756,0.8791208791208791,0.7843137254901961,0.09821428571428571,0.8079207920792079,0.7979434529520885,0.7523364485981309
