combo,s1_train_sec,s2_train_sec,target_scam,target_topic,thr_scam,thr_topic,calib_scam_fpr,calib_topic_fpr,holdout_scam_precision,holdout_scam_recall,holdout_scam_fpr,holdout_topic_precision,holdout_topic_recall,holdout_topic_fpr,holdout_micro_f1,holdout_macro_f1,holdout_exact
s1_nochar__s2_char,12.0,22.36,0.02,0.1,1.0,0.9982553720474243,1.0,0.08888888888888889,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.5149700598802395,0.0,0.7097744360902257,0.705666789059519,0.5916030534351145
s1_nochar__s2_char,12.0,22.36,0.02,0.2,1.0,0.0695517510175705,1.0,0.2,0.8484848484848485,0.5490196078431373,0.0625,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9043478260869566,0.8758086663552328,0.7633587786259542
s1_nochar__s2_char,12.0,22.36,0.05,0.03,1.0,1.0,1.0,1.0,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.38323353293413176,0.0,0.6534351145038167,0.6517180735930737,0.5343511450381679
s1_nochar__s2_char,12.0,22.36,0.05,0.1,1.0,0.9982553720474243,1.0,0.08888888888888889,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.5149700598802395,0.0,0.7097744360902257,0.705666789059519,0.5916030534351145
s1_nochar__s2_char,12.0,22.36,0.05,0.2,1.0,0.0695517510175705,1.0,0.2,0.8484848484848485,0.5490196078431373,0.0625,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9043478260869566,0.8758086663552328,0.7633587786259542
s1_nochar__s2_char,12.0,22.36,0.08,0.03,1.0,1.0,1.0,1.0,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.38323353293413176,0.0,0.6534351145038167,0.6517180735930737,0.5343511450381679
s1_nochar__s2_char,12.0,22.36,0.08,0.1,1.0,0.9982553720474243,1.0,0.08888888888888889,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.5149700598802395,0.0,0.7097744360902257,0.705666789059519,0.5916030534351145
s1_nochar__s2_char,12.0,22.36,0.08,0.2,1.0,0.0695517510175705,1.0,0.2,0.8484848484848485,0.5490196078431373,0.0625,0.9820359281437125,0.9820359281437125,0.031578947368421054,0.9043478260869566,0.8758086663552328,0.7633587786259542
s1_nochar__s2_char,12.0,22.36,0.1,0.03,1.0,1.0,1.0,1.0,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.38323353293413176,0.0,0.6534351145038167,0.6517180735930737,0.5343511450381679
s1_nochar__s2_char,12.0,22.36,0.1,0.1,1.0,0.9982553720474243,1.0,0.08888888888888889,0.8484848484848485,0.5490196078431373,0.0625,1.0,0.5149700598802395,0.0,0.7097744360902257,0.705666789059519,0.5916030534351145
